,timestamp,value
948896,2025-06-26 23:13:00,64.3
948897,2025-06-27 01:09:00,78.8
948898,2025-06-20 07:53:00,54.3
948899,2025-06-18 01:52:00,47.4
948900,2025-06-24 10:28:00,3.3
948901,2025-06-23 01:36:00,81.0
948902,2025-06-05 04:16:00,52.1
948903,2025-06-05 21:13:00,7.2
948904,2025-06-11 11:42:00,23.1
948905,2025-06-26 14:05:00,61.2
948906,2025-06-30 03:28:00,57.4
948907,2025-06-22 10:49:00,97.0
948908,2025-06-08 13:32:00,90.0
948909,2025-06-16 09:53:00,23.2
948910,2025-06-25 09:08:00,28.2
948911,2025-06-02 18:08:00,40.7
948912,2025-06-12 04:25:00,28.0
948913,2025-06-06 16:16:00,10.6
948914,2025-06-10 00:41:00,70.8
948915,2025-06-01 08:33:00,21.1
948917,2025-06-27 15:22:00,12.2
948920,2025-06-20 11:12:00,65.4
948922,2025-06-17 22:52:00,69.5
948923,2025-06-07 19:11:00,68.0
948925,2025-06-13 14:00:00,1.5
948926,2025-06-07 12:02:00,3.7
948927,2025-06-19 08:04:00,87.7
948928,2025-06-24 12:13:00,68.2
948929,2025-06-16 02:22:00,49.2
948930,2025-06-21 10:37:00,96.0
948931,2025-06-14 17:09:00,65.2
948932,2025-06-29 15:43:00,90.2
948933,2025-06-24 03:34:00,51.2
948934,2025-06-22 10:27:00,1.1
948935,2025-06-25 16:53:00,3.7
948936,2025-06-20 04:42:00,29.1
948938,2025-06-14 01:12:00,89.6
948939,2025-06-10 18:33:00,39.5
948940,2025-06-08 17:56:00,20.7
948941,2025-06-23 11:55:00,62.0
948942,2025-06-03 08:02:00,88.5
948944,2025-06-21 11:56:00,50.4
948945,2025-06-13 10:43:00,35.3
948946,2025-06-30 21:18:00,94.4
948947,2025-06-09 14:13:00,46.8
948948,2025-06-26 20:42:00,59.7
948949,2025-06-08 23:55:00,34.2
948950,2025-06-13 05:37:00,60.3
948951,2025-06-08 15:25:00,59.9
948952,2025-06-25 23:08:00,45.5
948953,2025-06-05 17:07:00,96.4
948954,2025-06-03 15:48:00,59.0
948955,2025-06-23 22:22:00,37.1
948957,2025-06-14 18:02:00,72.7
948958,2025-06-30 09:09:00,53.8
948959,2025-06-08 07:36:00,42.1
948960,2025-06-08 12:30:00,11.5
948961,2025-06-16 17:28:00,79.5
948962,2025-06-14 01:51:00,25.3
948963,2025-06-27 06:58:00,84.4
948964,2025-06-13 08:35:00,62.7
948965,2025-06-01 02:29:00,46.9
948966,2025-06-12 09:40:00,2.5
948967,2025-06-19 16:49:00,44.7
948968,2025-06-14 19:53:00,39.0
948969,2025-06-17 08:05:00,13.7
948970,2025-06-26 08:53:00,33.4
948971,2025-06-11 02:18:00,66.5
948972,2025-06-06 04:59:00,39.6
948973,2025-06-06 15:58:00,71.3
948974,2025-06-19 20:57:00,78.6
948976,2025-06-01 01:36:00,25.9
948977,2025-06-25 21:00:00,53.2
948978,2025-06-13 04:13:00,59.4
948979,2025-06-21 06:02:00,93.8
948980,2025-06-25 21:35:00,25.4
948982,2025-06-22 20:47:00,32.9
948984,2025-06-14 08:13:00,98.2
948986,2025-06-18 15:03:00,69.7
948987,2025-06-21 01:23:00,28.8
948988,2025-06-05 17:23:00,57.1
948989,2025-06-13 12:56:00,55.5
948990,2025-06-02 16:35:00,9.8
948991,2025-06-20 13:05:00,62.1
948992,2025-06-17 13:32:00,60.5
948993,2025-06-29 17:44:00,68.0
948994,2025-06-22 12:26:00,6.6
948995,2025-06-27 02:29:00,50.3
948996,2025-06-04 21:06:00,93.8
948999,2025-06-09 01:13:00,64.5
949002,2025-06-01 16:29:00,64.1
949003,2025-06-22 06:54:00,15.3
949004,2025-06-26 20:45:00,53.1
949005,2025-06-28 20:30:00,74.7
949006,2025-06-02 10:13:00,77.4
949007,2025-06-24 06:25:00,68.1
949008,2025-06-28 15:33:00,73.5
949009,2025-06-20 09:54:00,73.2
949010,2025-06-20 09:07:00,94.3
949011,2025-06-17 00:11:00,64.5
949012,2025-06-19 12:23:00,71.3
949013,2025-06-16 21:58:00,10.1
949014,2025-06-21 18:54:00,44.9
949015,2025-06-24 21:35:00,79.2
949016,2025-06-15 10:56:00,95.3
949017,2025-06-29 03:27:00,36.7
949018,2025-06-18 03:11:00,53.7
949019,2025-06-19 23:01:00,88.7
949020,2025-06-18 17:32:00,68.9
949021,2025-06-02 18:51:00,52.2
949022,2025-06-07 03:40:00,27.8
949023,2025-06-14 14:12:00,99.9
949024,2025-06-29 09:03:00,64.2
949025,2025-06-28 02:50:00,29.5
949026,2025-06-30 06:44:00,91.7
949028,2025-06-14 09:08:00,85.9
949029,2025-06-08 12:41:00,92.4
949030,2025-06-19 01:17:00,29.9
949031,2025-06-15 18:52:00,89.7
949033,2025-06-06 06:23:00,22.5
949034,2025-06-16 14:27:00,80.8
949035,2025-06-08 05:25:00,51.5
949037,2025-06-08 09:07:00,3.4
949040,2025-06-06 07:58:00,49.7
949041,2025-06-07 21:13:00,35.2
949042,2025-06-17 20:29:00,40.6
949043,2025-06-24 04:35:00,30.6
949044,2025-06-19 00:54:00,5.1
949045,2025-06-04 19:44:00,67.3
949046,2025-06-19 21:09:00,63.5
949047,2025-06-23 11:46:00,70.9
949050,2025-06-02 11:33:00,6.4
949051,2025-06-29 09:57:00,96.8
949053,2025-06-04 17:16:00,55.8
949054,2025-06-09 09:29:00,14.4
949055,2025-06-25 05:01:00,95.8
949056,2025-06-01 10:26:00,57.5
949057,2025-06-30 03:26:00,91.8
949058,2025-06-16 08:50:00,50.3
949059,2025-06-20 10:29:00,22.7
949061,2025-06-13 03:35:00,29.7
949062,2025-06-30 16:20:00,38.0
949063,2025-06-24 03:11:00,5.1
949064,2025-06-26 06:45:00,55.5
949066,2025-06-24 17:35:00,17.9
949067,2025-06-09 20:59:00,95.9
949069,2025-06-28 20:30:00,32.6
949070,2025-06-29 16:55:00,36.1
949071,2025-06-29 02:26:00,41.4
949072,2025-06-24 13:37:00,61.1
949073,2025-06-01 02:38:00,89.5
949074,2025-06-18 03:32:00,91.4
949075,2025-06-06 21:10:00,5.8
949076,2025-06-21 12:54:00,49.1
949077,2025-06-15 05:58:00,90.5
949078,2025-06-30 10:06:00,72.8
949079,2025-06-16 17:16:00,51.9
949080,2025-06-05 08:23:00,61.2
949081,2025-06-19 05:57:00,90.9
949082,2025-06-10 23:22:00,0.4
949083,2025-06-09 04:13:00,52.0
949084,2025-06-17 16:16:00,34.8
949085,2025-06-19 10:19:00,95.9
949086,2025-06-02 14:32:00,90.9
949088,2025-06-12 23:10:00,61.8
949089,2025-06-05 17:43:00,53.2
949090,2025-06-12 20:43:00,7.9
949091,2025-06-20 10:40:00,3.7
949093,2025-06-25 04:02:00,21.6
949094,2025-06-03 05:51:00,82.1
949095,2025-06-25 03:17:00,48.0
949096,2025-06-06 12:48:00,68.8
949097,2025-06-01 20:17:00,40.7
949098,2025-06-27 00:38:00,87.9
949099,2025-06-27 16:00:00,82.7
949100,2025-06-20 14:27:00,93.2
949101,2025-06-29 16:44:00,64.6
949102,2025-06-03 08:38:00,80.2
949103,2025-06-18 22:01:00,99.4
949104,2025-06-13 06:42:00,84.5
949105,2025-06-22 07:24:00,7.8
949106,2025-06-29 11:31:00,51.9
949107,2025-06-16 20:03:00,84.4
949110,2025-06-19 18:13:00,77.8
949111,2025-06-04 15:34:00,1.8
949112,2025-06-08 04:52:00,41.7
949114,2025-06-01 06:52:00,86.0
949115,2025-06-23 02:14:00,31.7
949116,2025-06-09 06:12:00,28.0
949117,2025-06-13 15:07:00,46.7
949118,2025-06-22 10:56:00,49.3
949119,2025-06-01 05:53:00,8.3
949120,2025-06-04 01:43:00,67.5
949122,2025-06-26 16:36:00,35.7
949123,2025-06-16 09:38:00,26.1
949124,2025-06-01 21:38:00,29.7
949125,2025-06-14 17:30:00,5.1
949126,2025-06-28 22:34:00,52.4
949128,2025-06-20 16:28:00,28.9
949129,2025-06-15 05:16:00,68.6
949130,2025-06-28 20:30:00,57.4
949131,2025-06-19 07:55:00,58.6
949132,2025-06-06 17:18:00,88.8
949133,2025-06-27 16:41:00,94.4
949134,2025-06-23 18:15:00,15.5
949135,2025-06-14 07:09:00,18.5
949136,2025-06-26 14:58:00,23.4
949137,2025-06-03 12:55:00,36.2
949138,2025-06-14 15:17:00,76.5
949140,2025-06-09 18:23:00,51.8
949141,2025-06-18 21:15:00,78.8
949142,2025-06-19 14:03:00,58.8
949143,2025-06-14 22:49:00,27.8
949146,2025-06-15 13:48:00,26.7
949147,2025-06-06 14:00:00,44.1
949148,2025-06-25 13:06:00,98.7
949149,2025-06-02 02:07:00,26.4
949151,2025-06-15 18:32:00,38.2
949153,2025-06-23 12:42:00,73.3
949154,2025-06-11 06:05:00,91.4
949155,2025-06-02 23:04:00,13.9
949156,2025-06-22 15:34:00,9.2
949157,2025-06-22 00:44:00,24.3
949158,2025-06-27 00:53:00,20.9
949159,2025-06-16 20:48:00,66.6
949160,2025-06-15 14:57:00,7.8
949162,2025-06-11 23:51:00,26.7
949164,2025-06-02 21:39:00,99.9
949165,2025-06-18 03:55:00,99.1
949166,2025-06-04 16:17:00,65.7
949167,2025-06-15 02:00:00,35.6
949168,2025-06-26 08:36:00,14.3
949169,2025-06-22 14:35:00,87.7
949170,2025-06-04 18:18:00,6.9
949171,2025-06-05 23:37:00,99.4
949172,2025-06-08 08:44:00,29.4
949173,2025-06-06 07:17:00,68.6
949174,2025-06-27 02:07:00,87.8
949175,2025-06-07 00:14:00,41.0
949176,2025-06-21 23:45:00,31.6
949177,2025-06-29 16:11:00,72.7
949178,2025-06-19 12:14:00,15.4
949179,2025-06-21 08:07:00,85.3
949181,2025-06-28 11:21:00,26.7
949182,2025-06-10 01:54:00,39.6
949183,2025-06-05 06:29:00,74.2
949185,2025-06-05 16:25:00,75.3
949186,2025-06-10 00:55:00,91.2
949187,2025-06-30 16:37:00,24.2
949188,2025-06-09 06:33:00,74.8
949189,2025-06-11 17:53:00,64.2
949191,2025-06-23 19:00:00,3.0
949193,2025-06-20 21:14:00,29.6
949194,2025-06-18 19:58:00,32.9
949195,2025-06-11 14:33:00,3.4
949196,2025-06-14 14:15:00,98.5
949197,2025-06-04 22:45:00,81.3
949198,2025-06-17 19:13:00,40.9
949199,2025-06-12 10:59:00,1.7
949200,2025-06-12 15:06:00,9.4
949201,2025-06-27 00:28:00,77.7
949203,2025-06-23 06:06:00,81.2
949204,2025-06-25 13:29:00,36.1
949205,2025-06-03 22:49:00,57.8
949206,2025-06-06 07:51:00,89.6
949207,2025-06-12 12:46:00,16.1
949208,2025-06-28 08:42:00,1.3
949209,2025-06-12 08:56:00,33.5
949211,2025-06-20 17:58:00,36.3
