,timestamp,value
117724,2025-06-24 11:05:00,50.5
117725,2025-06-21 22:39:00,88.2
117729,2025-06-12 21:01:00,97.4
117730,2025-06-01 04:19:00,77.8
117731,2025-06-02 15:13:00,56.9
117732,2025-06-10 11:15:00,44.4
117733,2025-06-28 16:46:00,7.1
117734,2025-06-25 01:48:00,40.3
117735,2025-06-25 07:10:00,9.5
117736,2025-06-13 20:12:00,36.0
117737,2025-06-11 01:33:00,69.6
117738,2025-06-14 17:46:00,53.0
117739,2025-06-19 21:31:00,17.3
117740,2025-06-12 23:06:00,98.9
117741,2025-06-15 23:22:00,25.0
117742,2025-06-19 21:01:00,47.4
117743,2025-06-10 15:16:00,59.5
117744,2025-06-18 19:45:00,66.2
117745,2025-06-14 05:16:00,69.4
117748,2025-06-30 17:11:00,44.9
117749,2025-06-11 19:36:00,91.9
117750,2025-06-28 02:09:00,16.0
117751,2025-06-19 02:00:00,3.4
117752,2025-06-11 10:21:00,85.9
117753,2025-06-23 10:52:00,35.1
117754,2025-06-18 07:50:00,74.5
117755,2025-06-07 12:49:00,12.0
117756,2025-06-14 04:01:00,52.1
117757,2025-06-26 13:11:00,90.0
117758,2025-06-05 12:19:00,11.6
117759,2025-06-20 12:16:00,20.4
117760,2025-06-24 09:44:00,28.8
117762,2025-06-10 05:33:00,67.0
117764,2025-06-21 13:20:00,0.6
117765,2025-06-08 22:21:00,37.7
117766,2025-06-12 20:09:00,64.2
117767,2025-06-13 16:08:00,66.4
117768,2025-06-28 10:14:00,51.3
117769,2025-06-18 11:53:00,74.0
117770,2025-06-01 03:46:00,43.4
117771,2025-06-21 11:37:00,62.0
117772,2025-06-29 09:32:00,12.1
117773,2025-06-09 02:38:00,40.5
117774,2025-06-15 21:22:00,35.6
117775,2025-06-15 18:15:00,13.3
117777,2025-06-24 17:22:00,32.2
117778,2025-06-21 01:53:00,62.9
117779,2025-06-24 05:10:00,79.1
117780,2025-06-22 03:17:00,39.7
117781,2025-06-16 07:20:00,91.9
117782,2025-06-29 14:45:00,30.3
117783,2025-06-28 19:21:00,63.9
117784,2025-06-02 06:42:00,36.8
117785,2025-06-28 22:06:00,52.1
117786,2025-06-02 15:24:00,78.2
117787,2025-06-10 22:35:00,77.8
117788,2025-06-18 12:53:00,12.1
117789,2025-06-28 00:04:00,79.8
117790,2025-06-23 19:53:00,68.0
117791,2025-06-01 02:34:00,48.6
117792,2025-06-24 16:27:00,10.5
117793,2025-06-04 15:16:00,62.8
117794,2025-06-01 15:45:00,81.4
117795,2025-06-06 05:17:00,2.0
117796,2025-06-11 03:26:00,97.0
117797,2025-06-22 05:09:00,66.7
117800,2025-06-03 23:58:00,87.4
117801,2025-06-25 20:30:00,89.3
117802,2025-06-14 15:25:00,71.0
117805,2025-06-02 08:59:00,77.6
117806,2025-06-12 15:27:00,14.7
117807,2025-06-29 22:53:00,22.2
117810,2025-06-25 09:33:00,17.7
117811,2025-06-17 23:40:00,18.8
117812,2025-06-24 20:31:00,42.1
117813,2025-06-10 17:22:00,33.6
117814,2025-06-02 20:45:00,50.4
117815,2025-06-25 19:55:00,59.2
117816,2025-06-02 15:15:00,82.4
117817,2025-06-11 02:43:00,40.8
117818,2025-06-24 04:09:00,31.1
117819,2025-06-04 10:40:00,44.0
117820,2025-06-13 22:45:00,76.8
117821,2025-06-18 01:50:00,66.6
117822,2025-06-02 15:15:00,79.0
117823,2025-06-22 14:20:00,53.7
117825,2025-06-25 09:36:00,76.6
117826,2025-06-02 19:57:00,71.6
117828,2025-06-05 17:39:00,2.1
117829,2025-06-01 21:52:00,75.3
117830,2025-06-27 12:33:00,39.6
117831,2025-06-24 06:49:00,6.3
117832,2025-06-23 16:15:00,53.3
117833,2025-06-06 07:50:00,74.5
117834,2025-06-01 23:11:00,19.8
117835,2025-06-25 02:36:00,54.1
117836,2025-06-08 06:53:00,1.8
117837,2025-06-17 05:44:00,43.4
117838,2025-06-18 01:25:00,31.7
117839,2025-06-03 04:23:00,19.5
117840,2025-06-19 21:05:00,58.1
117841,2025-06-07 23:07:00,27.6
117842,2025-06-25 20:56:00,75.3
117843,2025-06-13 01:58:00,54.2
117844,2025-06-10 07:59:00,72.5
117845,2025-06-30 02:04:00,3.8
117846,2025-06-12 08:19:00,41.0
117847,2025-06-22 12:32:00,15.1
117850,2025-06-04 09:43:00,67.3
117851,2025-06-12 17:32:00,30.8
117852,2025-06-09 22:36:00,79.8
117853,2025-06-12 10:26:00,57.4
117854,2025-06-24 13:46:00,81.6
117855,2025-06-24 22:25:00,47.1
117856,2025-06-08 07:31:00,23.1
117857,2025-06-08 11:25:00,48.3
117858,2025-06-15 13:00:00,25.1
117859,2025-06-01 12:02:00,57.0
117860,2025-06-27 12:39:00,99.0
117862,2025-06-04 03:53:00,68.0
117863,2025-06-28 19:02:00,70.0
117864,2025-06-12 15:32:00,45.6
117865,2025-06-30 09:33:00,27.7
117866,2025-06-08 03:13:00,18.9
117867,2025-06-09 00:33:00,24.8
117868,2025-06-14 10:32:00,47.4
117870,2025-06-16 21:28:00,7.2
117871,2025-06-17 15:56:00,24.9
117872,2025-06-18 04:02:00,61.5
117873,2025-06-10 21:41:00,73.5
117875,2025-06-29 17:06:00,50.3
117876,2025-06-08 18:43:00,57.2
117877,2025-06-28 04:40:00,80.3
117879,2025-06-23 10:34:00,0.1
117881,2025-06-05 18:54:00,41.9
117882,2025-06-25 01:45:00,29.5
117883,2025-06-16 11:47:00,33.4
117884,2025-06-11 11:55:00,35.8
117885,2025-06-20 18:21:00,99.1
117886,2025-06-15 08:06:00,67.9
117887,2025-06-22 19:41:00,69.3
117888,2025-06-12 11:26:00,68.5
117889,2025-06-24 04:10:00,30.8
117891,2025-06-26 01:05:00,94.5
117892,2025-06-13 21:42:00,42.5
117893,2025-06-29 16:40:00,17.5
117894,2025-06-30 01:35:00,96.3
117895,2025-06-23 12:16:00,2.6
117896,2025-06-01 05:39:00,75.5
117897,2025-06-19 06:06:00,39.5
117898,2025-06-28 02:30:00,66.3
117899,2025-06-30 04:20:00,6.4
117900,2025-06-06 23:23:00,96.2
117901,2025-06-24 20:21:00,40.2
117902,2025-06-23 11:36:00,47.9
117903,2025-06-24 13:50:00,12.1
117904,2025-06-07 05:53:00,31.8
117905,2025-06-03 00:16:00,79.7
117906,2025-06-21 21:25:00,33.9
117907,2025-06-10 19:42:00,42.8
117908,2025-06-29 12:04:00,47.6
117909,2025-06-28 23:30:00,86.6
117910,2025-06-26 23:37:00,96.6
117911,2025-06-17 04:41:00,49.0
117913,2025-06-19 23:02:00,99.3
117914,2025-06-29 02:15:00,20.7
117915,2025-06-20 13:10:00,25.2
117916,2025-06-17 12:14:00,30.3
117917,2025-06-28 15:59:00,57.9
117918,2025-06-11 23:17:00,73.5
117919,2025-06-12 14:35:00,88.3
117920,2025-06-08 10:45:00,19.7
117921,2025-06-26 13:54:00,83.7
117922,2025-06-30 05:13:00,88.0
117923,2025-06-06 04:43:00,21.5
117924,2025-06-01 19:48:00,18.6
117925,2025-06-07 05:12:00,54.2
117926,2025-06-08 05:24:00,71.9
117927,2025-06-05 07:37:00,0.9
117928,2025-06-24 12:28:00,78.1
117929,2025-06-11 01:50:00,22.4
117931,2025-06-17 08:33:00,80.8
117932,2025-06-06 17:05:00,59.0
